tick,eim_1d
1,-0.6643007657492142
2,-0.7250081814521498
3,-0.6922366070475294
4,-0.6882699356067182
5,-0.7971727539365969
6,-0.618036991237702
7,-0.6456422861424299
8,-0.6194819686912367
9,-0.6679898892599354
10,-0.6796675777643986
11,-0.780090883452818
12,-0.4126742428167258
13,-0.38977444783390147
14,-0.5161234648082724
15,-0.645288546656354
16,-0.65340160673049
17,-0.6169290189821768
18,-0.6907815743162732
19,-0.7462783168127833
20,-0.7367658418164371
21,-0.7227393724533047
22,-0.7778206517191604
23,-0.7227888753631808
24,-0.7452750775479161
25,-0.8726074034755663
26,-0.8281232455642902
27,-0.751583842018194
28,-0.7487646725224879
29,-0.39477435471077593
30,-0.48411845631163875
31,-0.619064642876737
32,-0.707412630230191
33,-0.7045210895325116
34,-0.664610389703929
35,-0.7592002155581346
36,-0.8061129909605621
37,-0.844369396334161
38,-0.835140454696213
39,-0.8313020786524523
40,-0.8869650375403597
41,-0.8898190364750311
42,-0.797477181213915
43,-0.42561787665816353
44,-0.44037339928280617
45,-0.5693259896831082
46,-0.33936424386439523
47,-0.3757802899635171
48,-0.5801554270148723
49,-0.6725338492254009
50,-0.7186491754017987
51,-0.70124952227459
52,-0.7842543267480105
53,-0.8113039969782421
54,-0.7522373168086507
55,-0.7098435197380808
56,-0.7099527105912148
57,-0.7269178901832221
58,-0.794289690969219
59,-0.7728482620806201
60,-0.6825343316248408
61,-0.6294148337230999
62,-0.6273822596897474
63,-0.6795241342385354
64,-0.6576589062619569
65,-0.7582175055376613
66,-0.8145575895797716
67,-0.7597473105372328
68,-0.8089879016714094
69,-0.8517182373728474
70,-0.8454814076916295
71,-0.841085939199124
72,-0.9151411071607287
73,-0.9513566966764565
74,-0.9414306818381803
75,-0.9345967317080509
76,-0.9157081955311842
77,-0.8553307786093187
78,-0.7994825446872385
79,-0.7999357819439423
80,-0.8989990937818636
81,-0.8987172259015459
82,-0.9292690897175215
83,-0.9029208804227323
84,-0.8934114261372932
85,-0.8613792263187323
86,-0.8457048178866841
87,-0.9050802634417233
88,-0.9214025341611992
89,-0.9394744831812762
90,-0.9156602689022182
91,-0.8622903364919432
92,-0.8762407532961114
93,-0.524971905321463
94,-0.45809585324690894
95,-0.5438744892572649
96,-0.6700181079993348
97,-0.7320842010497306
98,-0.7114531835586166
99,-0.741537785321231
100,-0.7330404503337475
101,-0.7463216985270449
102,-0.7370408475548087
103,-0.41083861013031153
104,-0.4108987513319211
105,-0.29019255359530327
106,-0.28882956076779764
107,-0.19705897585091492
108,-0.27809052786132116
109,-0.5190067543068706
110,-0.6361212227317934
111,-0.40741304905489983
112,-0.39606222564565163
113,-0.5272876045129342
114,-0.5724223393836855
115,-0.5571671060332073
116,-0.6452714255878537
117,-0.6616052853447478
